timestamp,model_name,model_size_gb,params_b,backend,threads,test_type,prompt_size,tokens_per_second,std_dev,quantization,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,model_path,rpc_nodes
2025-11-30T22:23:41.662189,Llama-3.3-70B-Instruct-Q8_0,69.82,70.55,"ROCm,RPC",12,pp128,128,47.3,0.06,Q8_0,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Llama-3.3-70B-Instruct-GGUF/Llama-3.3-70B-Instruct-Q8_0-00001-of-00002.gguf,2
2025-11-30T22:40:28.020250,Llama-3.3-70B-Instruct-Q8_0,69.82,70.55,"ROCm,RPC",12,pp128,128,47.36,0.09,Q8_0,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Llama-3.3-70B-Instruct-GGUF/Llama-3.3-70B-Instruct-Q8_0-00001-of-00002.gguf,2
2025-11-30T22:57:19.048035,Llama-3.3-70B-Instruct-Q8_0,69.82,70.55,"ROCm,RPC",12,pp256,256,59.08,0.08,Q8_0,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Llama-3.3-70B-Instruct-GGUF/Llama-3.3-70B-Instruct-Q8_0-00001-of-00002.gguf,2
2025-11-30T23:14:16.687258,Llama-3.3-70B-Instruct-Q8_0,69.82,70.55,"ROCm,RPC",12,pp256,256,59.06,0.09,Q8_0,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Llama-3.3-70B-Instruct-GGUF/Llama-3.3-70B-Instruct-Q8_0-00001-of-00002.gguf,2
2025-11-30T23:31:17.370847,Llama-3.3-70B-Instruct-Q8_0,69.82,70.55,"ROCm,RPC",12,pp512,512,95.24,0.15,Q8_0,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Llama-3.3-70B-Instruct-GGUF/Llama-3.3-70B-Instruct-Q8_0-00001-of-00002.gguf,2
2025-11-30T23:48:20.251060,Llama-3.3-70B-Instruct-Q8_0,69.82,70.55,"ROCm,RPC",12,pp512,512,95.32,0.23,Q8_0,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Llama-3.3-70B-Instruct-GGUF/Llama-3.3-70B-Instruct-Q8_0-00001-of-00002.gguf,2
2025-12-01T00:05:46.920297,Llama-3.3-70B-Instruct-Q8_0,69.82,70.55,"ROCm,RPC",12,pp1024,1024,110.28,0.32,Q8_0,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Llama-3.3-70B-Instruct-GGUF/Llama-3.3-70B-Instruct-Q8_0-00001-of-00002.gguf,2
2025-12-01T00:23:11.222866,Llama-3.3-70B-Instruct-Q8_0,69.82,70.55,"ROCm,RPC",12,pp1024,1024,110.52,0.23,Q8_0,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Llama-3.3-70B-Instruct-GGUF/Llama-3.3-70B-Instruct-Q8_0-00001-of-00002.gguf,2
2025-12-01T00:41:22.829988,Llama-3.3-70B-Instruct-Q8_0,69.82,70.55,"ROCm,RPC",12,pp2048,2048,118.45,0.08,Q8_0,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Llama-3.3-70B-Instruct-GGUF/Llama-3.3-70B-Instruct-Q8_0-00001-of-00002.gguf,2
2025-12-01T00:59:34.000631,Llama-3.3-70B-Instruct-Q8_0,69.82,70.55,"ROCm,RPC",12,pp2048,2048,118.66,0.07,Q8_0,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Llama-3.3-70B-Instruct-GGUF/Llama-3.3-70B-Instruct-Q8_0-00001-of-00002.gguf,2
